03/02/2025-16:05:10.697055  [**] [1:1000001:1] ICMP Traffic Detected [**] [Classification: (null)] [Priority: 3] {IPv6-ICMP} fe80:0000:0000:0000:0a00:27ff:fe1e:62ee:135 -> fe80:0000:0000:0000:0000:0000:0000:0002:0
03/02/2025-16:18:08.424133  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:18:08.808286  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:18:08.898704  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:18:08.984286  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:18:09.077164  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:18:09.178958  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:18:09.312408  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:18:09.418855  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:18:09.859587  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:10.226704  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:10.952700  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:11.165471  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:11.256177  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:11.448396  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:11.651008  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:11.872875  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:12.106617  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:12.191703  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:12.283102  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:12.697752  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:13.282629  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:13.367552  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:13.454550  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:13.537924  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:13.632325  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:13.724830  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:13.814425  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:14.022011  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:14.117694  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:14.207430  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:14.290687  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:14.374384  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:14.462171  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:14.596476  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:14.684321  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:14.912259  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:15.026496  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:15.119683  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:15.208965  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:15.296603  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:15.379997  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:15.470482  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:15.560245  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:15.646607  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:15.732462  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:15.827037  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:15.910127  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:16.009874  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:16.094163  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:16.183830  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:16.277495  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:16.380235  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:16.463517  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:16.574520  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:16.670988  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:16.755705  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:17.540402  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:17.846414  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:17.936725  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:18.020560  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:18.203737  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:18.300718  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:18.387489  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:18.528024  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:18.614679  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:18.719609  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:18.914537  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:19.132047  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:19.279188  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:19.473005  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:19.556883  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:19.651594  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:19.848383  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:20.050530  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:20.131775  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:20.328669  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:20.423590  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:20.522341  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:20.606468  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:20.798492  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:20.885997  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:20.970489  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:21.054314  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:21.138187  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:21.286175  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:22.359178  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:22.736330  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:22.824553  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:25.590134  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:26.052101  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:26.218249  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:26.309312  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:26.829266  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:27.227137  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:27.322834  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:27.423644  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:27.853561  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:28.095321  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:28.180802  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:28.269778  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:28.466495  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:28.877498  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:28.962822  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:29.057952  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:29.160392  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:29.245365  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:29.469055  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:29.677514  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:29.787111  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:59616 -> 91.189.91.81:80
03/02/2025-16:18:30.366952  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:57584 -> 91.189.91.83:80
03/02/2025-16:18:30.984780  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:57584 -> 91.189.91.83:80
03/02/2025-16:21:45.874805  [**] [1:1000001:1] ICMP Traffic Detected [**] [Classification: (null)] [Priority: 3] {IPv6-ICMP} fe80:0000:0000:0000:0a00:27ff:fe1e:62ee:143 -> ff02:0000:0000:0000:0000:0000:0000:0016:0
03/02/2025-16:22:29.712937  [**] [1:1000001:1] ICMP Traffic Detected [**] [Classification: (null)] [Priority: 3] {IPv6-ICMP} fe80:0000:0000:0000:0a00:27ff:fe1e:62ee:135 -> fd00:0000:0000:0000:0000:0000:0000:0002:0
03/02/2025-16:22:29.713310  [**] [1:1000001:1] ICMP Traffic Detected [**] [Classification: (null)] [Priority: 3] {IPv6-ICMP} fd00:0000:0000:0000:0000:0000:0000:0002:136 -> fe80:0000:0000:0000:0a00:27ff:fe1e:62ee:0
03/02/2025-16:23:26.563559  [**] [1:1000001:1] ICMP Traffic Detected [**] [Classification: (null)] [Priority: 3] {IPv6-ICMP} fe80:0000:0000:0000:0000:0000:0000:0002:134 -> ff02:0000:0000:0000:0000:0000:0000:0001:0
03/02/2025-16:30:34.499943  [**] [1:1000001:1] ICMP Traffic Detected [**] [Classification: (null)] [Priority: 3] {IPv6-ICMP} fe80:0000:0000:0000:0000:0000:0000:0002:134 -> ff02:0000:0000:0000:0000:0000:0000:0001:0
03/02/2025-16:32:02.739197  [**] [1:1000001:1] ICMP Traffic Detected [**] [Classification: (null)] [Priority: 3] {IPv6-ICMP} fe80:0000:0000:0000:0a00:27ff:fe1e:62ee:135 -> fe80:0000:0000:0000:0000:0000:0000:0002:0
03/02/2025-16:32:02.739542  [**] [1:1000001:1] ICMP Traffic Detected [**] [Classification: (null)] [Priority: 3] {IPv6-ICMP} fe80:0000:0000:0000:0000:0000:0000:0002:136 -> fe80:0000:0000:0000:0a00:27ff:fe1e:62ee:0
03/02/2025-16:32:36.382069  [**] [1:1000001:1] ICMP Traffic Detected [**] [Classification: (null)] [Priority: 3] {ICMP} 10.0.2.15:8 -> 8.8.8.8:0
03/02/2025-16:32:36.429785  [**] [1:1000001:1] ICMP Traffic Detected [**] [Classification: (null)] [Priority: 3] {ICMP} 8.8.8.8:0 -> 10.0.2.15:0
